Order_ID,Destination_Country,Supplier_ID,Product_Category,Order_Quantity,Order_Date,Dispatch_Date,Delivery_Date,Shipping_Mode,Sales_Value,Delay_Days,Disruption_Type,Disruption_Severity,Historical_Disruption_Count,Supplier_Reliability_Score,Origin_Warehouse,Dominant_Buyer_Flag,Available_Historical_Records,Data_Sharing_Consent,Federated_Round,Parameter_Change_Magnitude,Communication_Cost_MB,Energy_Consumption_Joules,Delivery_Status,Days_Real,Days_Scheduled,Transport_Cost,Benefit_per_Order,Unit_Price,Customer_Priority,Month,Quarter,Day_of_Week,Is_Peak_Season,Is_Winter,Route_Volatility,Country_Risk_Score,Mode_Risk_Score,Supplier_Risk_Score,MA_30_Delay_Rate,MA_90_Delay_Rate,EMA_Delay,Value_Quantity_Ratio,Cost_Benefit_Ratio,Priority_Risk,Supplier_Centrality,Warehouse_Centrality,Is_Anomaly
O1204,B13,S29,Textiles,924,2023-01-01,2023-01-04,2023-01-23,Sea,23170.79,10,Customs,High,18,0.86,Org15,0,699,1,3,0.0582,3.11,495.62,1,22,12,1297.5642400000002,5792.6975,25.049502702702704,Standard,1,1,6,0,1,7.22841614740048,0.5263157894736842,0.5353982300884956,0.6,1.0,1.0,22.0,25.049502702702704,0.2239613372979863,1,0.0,0.00731599574477635,1
O1121,B14,S3,Textiles,27,2023-01-01,2023-01-02,2023-01-03,Air,15253.58,0,,,19,0.73,Org2,1,486,1,6,0.1773,0.85,279.09,0,2,2,3050.716,3813.395,544.7707142857142,Enterprise,1,1,6,0,1,4.041451884327381,0.35294117647058826,0.4752851711026616,0.5,0.0,0.0,2.0,544.7707142857142,0.7997902681814547,3,0.0,0.0059595845708017865,0
O1144,B33,S24,Textiles,467,2023-01-01,2023-01-04,2023-01-14,Road,34051.75,2,Shortage,Medium,17,0.6,Org13,1,88,1,1,0.0279,0.87,165.27,1,13,11,2724.14,8512.9375,72.76014957264957,Enterprise,1,1,6,0,1,4.070217029430577,0.5789473684210527,0.51171875,0.5208333333333334,1.0,1.0,13.0,72.76014957264957,0.3199624145702267,3,0.0,0.007393033820422956,0
O1082,B45,S15,Machinery,675,2023-01-02,2023-01-06,2023-01-17,Rail,3189.44,3,Weather,Low,16,0.99,Org17,1,677,1,7,0.3765,3.41,375.19,1,15,12,280.67072,797.36,4.7181065088757395,Enterprise,1,1,0,0,1,5.639993245521116,0.391304347826087,0.5372549019607843,0.6363636363636364,1.0,1.0,15.0,4.7181065088757395,0.35155909614710157,3,0.0,0.009324750764963217,0
O1307,B33,S25,Textiles,643,2023-01-02,2023-01-03,2023-01-08,Sea,36578.64,0,,,17,0.8,Org11,1,648,1,9,0.35,2.62,452.21,0,6,6,2048.40384,9144.66,56.799130434782604,Enterprise,1,1,0,0,1,4.816637831516918,0.5789473684210527,0.5353982300884956,0.4888888888888889,0.5,0.5,9.325000000000001,56.799130434782604,0.22397550750847942,3,0.0,0.01038967481226203,0
O1791,B36,S19,Machinery,491,2023-01-03,2023-01-06,2023-01-22,Road,36275.52,7,Shortage,Low,10,0.61,Org1,0,846,0,3,0.0472,2.41,114.17,1,19,12,2902.0416,9068.88,73.73073170731706,Standard,1,1,1,0,1,6.2182527020592095,0.5263157894736842,0.51171875,0.48148148148148145,1.0,1.0,19.0,73.73073170731706,0.31996471838657187,1,0.0,0.007935541285472168,0
O1455,B44,S25,Pharma,197,2023-01-03,2023-01-06,2023-01-17,Rail,19525.57,10,Strike,Low,11,0.85,Org18,0,153,1,10,0.4808,0.57,65.64,1,14,4,1718.25016,4881.3925,98.6139898989899,Standard,1,1,1,0,1,4.041451884327381,0.5714285714285714,0.5372549019607843,0.4888888888888889,1.0,1.0,14.0,98.6139898989899,0.3519279041986076,1,0.0,0.008513574435852439,0
O1865,B12,S15,Machinery,358,2023-01-03,2023-01-05,2023-01-12,Road,2166.98,3,Customs,Medium,2,0.52,Org5,0,389,1,5,0.1206,1.86,207.55,1,9,6,173.35840000000002,541.745,6.036155988857939,Standard,1,1,1,0,1,2.138089935299395,0.4838709677419355,0.51171875,0.6363636363636364,1.0,1.0,9.0,6.036155988857939,0.3194104045177754,1,0.0,0.008116810433191533,0
O1258,B8,S10,Pharma,287,2023-01-03,2023-01-06,2023-01-13,Sea,8704.61,0,,,19,0.66,Org1,0,388,0,5,0.3003,3.41,465.44,0,10,10,487.45816,2176.1525,30.22434027777778,Standard,1,1,1,0,1,4.358898943540674,0.5294117647058824,0.5353982300884956,0.41025641025641024,0.0,0.0,10.0,30.22434027777778,0.2238971133165913,1,0.0,0.007935541285472168,0
O1811,B16,S16,Pharma,93,2023-01-03,2023-01-05,2023-01-14,Sea,31213.45,0,,,2,0.64,Org18,1,902,1,5,0.3475,3.81,101.82,0,11,11,1747.9532,7803.3625,332.0579787234043,Enterprise,1,1,1,0,1,2.692582403567252,0.4090909090909091,0.5353982300884956,0.5227272727272727,0.0,0.0,11.0,332.0579787234043,0.2239712981041052,3,0.0,0.008513574435852439,0
